fiyat,yil,marka,seri,model,kilometre,vites_tipi,yakit_tipi,cekis,yakit_deposu,motor_hacmi,motor_gucu,boyali_parca,degisen_parca
108,365000,2008,Volkswagen,Jetta 1.6 Primeline,Jetta,115062,Düz,Benzinli,Önden Çekiş,55.0,1.595,102.0,6,0
109,289000,2010,Citroen,Nemo Combi 1.4 HDI XTR Plus,Nemo,165000,Düz,Dizel,,45.0,1.398,70.0,0,0
110,319900,2010,Opel,Astra Sedan 1.6 Enjoy,Astra,116556,Düz,Benzinli/LPG,Önden Çekiş,52.0,1.598,115.0,3,5
111,270000,2007,Hyundai,Getz 1.5 VGT 4 HY KLM ABS SR,Getz,235000,Düz,Dizel,Önden Çekiş,45.0,1.493,110.0,0,0
112,240000,2014,Fiat,Fiorino Cargo 1.3 Multijet,Fiorino,289000,Düz,Dizel,,45.0,1.248,75.0,0,0
113,370000,2017,Renault,Symbol 1.5 dCi Joy,Symbol,110577,Düz,Dizel,Önden Çekiş,50.0,1.461,90.0,0,0
114,355000,2011,Ford,Focus 1.6 TDCi Comfort,Focus,194000,Düz,Dizel,Önden Çekiş,53.0,1.56,95.0,0,0
115,500000,2014,Bmw,116d EfficientDynamics,1 Serisi,223550,Düz,Dizel,Arkadan İtiş,52.0,1.598,116.0,2,0
116,280000,2006,Fiat,Marea 1.6 16V Liberty,Marea,143737,Düz,Benzinli,Önden Çekiş,63.0,1.596,103.0,4,2
117,300000,2012,Renault,Symbol 1.5 dCi Authentique,Symbol,134613,Düz,Dizel,Önden Çekiş,50.0,1.461,65.0,0,0
118,300000,2015,Fiat,Linea 1.3 Multijet Pop,Linea,155591,Düz,Dizel,Önden Çekiş,45.0,1.248,95.0,2,0
119,275000,2013,Fiat,Fiorino Combi 1.3 Multijet Emotion Comfort Matic,Fiorino,120700,Düz,Dizel,,45.0,1.248,75.0,0,2
120,270000,2009,Fiat,Fiorino Combi 1.3 Multijet Emotion,Fiorino,282000,Düz,Dizel,,45.0,1.248,75.0,0,0
121,385000,2015,Renault,Clio 1.5 dCi Joy,Clio,107776,Düz,Dizel,Önden Çekiş,45.0,1.461,75.0,0,0
122,430000,2014,Hyundai,i20 1.4 CRDI JUMP,i20,107943,Düz,Dizel,Önden Çekiş,45.0,1.396,90.0,1,2
123,340000,2012,Renault,Clio 1.2 16V Joy,Clio,182000,Düz,Benzinli,Önden Çekiş,45.0,1.149,75.0,0,0
124,350000,2015,Renault,Clio 1.2 16V Joy,Clio,137370,Düz,Benzinli/LPG,Önden Çekiş,45.0,1.149,75.0,3,0
