fiyat,yil,marka,seri,model,kilometre,vites_tipi,yakit_tipi,cekis,yakit_deposu,motor_hacmi,motor_gucu,boyali_parca,degisen_parca,fiyat_log
219900,17,Renault,1.6 Dynamique 115 Ps Grandtour,Megane,397220,Düz,LPG & Benzin,Önden Çekiş,60.0,1598,114.0,0,0,12.300928176542852
146900,19,Peugeot,1.4 HDI XR 69 Ps Hatchback,307,246250,Düz,Dizel,Önden Çekiş,60.0,1398,68.0,0,0,11.897507362161969
479900,4,Renault,0.9 TCe Touch 90 Ps Hatchback,Clio,73266,Düz,Benzin,Önden Çekiş,45.0,8980,89.0,0,0,13.081333027846338
405900,5,Renault,1.2 16V Joy 75 Ps Hatchback,Clio,42111,Düz,Benzin,Önden Çekiş,45.0,1149,74.0,4,0,12.91386210282699
539900,3,Fiat,1.6 MultiJet Easy DCT 120 Ps Sedan,Egea,116568,Otomatik,Dizel,Önden Çekiş,45.0,1598,118.0,0,1,13.199139216206378
435900,3,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,96445,Düz,Benzin,Önden Çekiş,45.0,1368,94.0,0,0,12.985168138226484
445900,2,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,46662,Düz,LPG & Benzin,Önden Çekiş,45.0,1368,94.0,0,0,13.007849990615568
494900,6,Renault,1.5 DCI Touch EDC 90 Ps Hatchback,Clio,86105,Düz,Dizel,Önden Çekiş,45.0,1461,89.0,4,2,13.112111000939978
465900,8,Fiat,1.6 MultiJet Lounge 120 Ps Sedan,Egea,108693,Düz,Benzin,Önden Çekiş,45.0,1598,118.0,0,2,13.051726297804889
359900,7,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,182581,Düz,Dizel,Önden Çekiş,45.0,1248,94.0,3,3,12.793581494067123
385900,17,Mercedes,Vaneo 140 Trend,Vaneo,239819,Düz,Dizel,Önden Çekiş,54.0,1598,82.0,7,3,12.863333547525711
325900,6,Fiat,Linea 1.3 Multijet Pop,Linea,116667,Düz,Dizel,Önden Çekiş,45.0,1248,95.0,1,0,12.694345864825653
245900,9,Fiat,Linea 1.3 Multijet Pop,Linea,242938,Düz,Dizel,Önden Çekiş,45.0,1248,95.0,4,4,12.412680228204284
150900,19,Opel,Corsa 1.3 CDTI Essentia,Corsa,228274,Düz,Dizel,Önden Çekiş,44.0,1248,70.0,0,9,11.924372644755941
405900,8,Renault,Symbol 1.5 dCi Joy,Symbol,45289,Düz,Dizel,Önden Çekiş,50.0,1461,75.0,1,0,12.91386210282699
215900,18,Fiat,Panda 1.2 Dynamic,Panda,158278,Düz,Benzin,Önden Çekiş,35.0,1242,60.0,7,0,12.282570616502898
229900,17,Renault,Clio 1.2 16V Expression,Clio,171213,Düz,Benzin,Önden Çekiş,55.0,1149,75.0,0,0,12.345399710751273
215900,17,Hyundai,Getz 1.5 VGT 4 HY KLM ABS SR,Getz,208186,Düz,Dizel,Önden Çekiş,45.0,1493,110.0,7,2,12.282570616502898
349900,11,Opel,Corsa 1.4i Twinport Enjoy Otomatik 15 Alaşım Jant,Corsa,135280,Otomatik,LPG & Benzin,Önden Çekiş,45.0,1364,100.0,3,3,12.765402678355779
325900,12,Renault,Megane 1.5 dCi Privilege,Megane,293528,Düz,Dizel,Önden Çekiş,60.0,1461,105.0,0,0,12.694345864825653
299900,13,Fiat,Grande Punto 1.4 Fire Active,Grande Punto,86984,Düz,Benzin,Önden Çekiş,45.0,1368,77.0,0,0,12.6112043647371
342900,12,Fiat,Punto EVO 1.3 Mjet Dynamic,Punto,92558,Düz,Dizel,Önden Çekiş,45.0,1248,75.0,2,0,12.745194138451012
320900,8,Fiat,Linea 1.3 Multijet Pop GSR,Linea,102344,Düz,Dizel,Önden Çekiş,45.0,1248,95.0,2,3,12.678884827097948
325000,15,Hyundai,Accent Era 1.4 Team ABS,Accent,61621,Düz,Benzin,Önden Çekiş,45.0,1399,97.0,4,0,12.691580461311874
175000,19,Renault,Symbol 1.4 Alize,Symbol,224924,Düz,LPG & Benzin,Önden Çekiş,50.0,1390,98.0,2,0,12.072541252905651
365000,10,Ford,Fiesta 1.5 TDCi Titanium,Fiesta,121184,Düz,Dizel,Önden Çekiş,42.0,1498,75.0,4,1,12.80765263256463
321900,10,Citroen,C- Elysee 1.6 HDİ Exclusive,C- Elysee,154242,Düz,Dizel,Önden Çekiş,48.0,1560,92.0,2,1,12.6819962172869
310000,12,Chevrolet,Aveo 1.4 LT,Aveo,170000,Düz,LPG & Benzin,Önden Çekiş,46.0,1398,100.0,0,0,12.644327576461329
225900,15,Opel,Vectra 1.6 Comfort,Vectra,146000,Düz,LPG & Benzin,Önden Çekiş,61.0,1598,105.0,13,0,12.327847702456095
450000,12,Renault,Fluence 1.5 dCi Dynamique,Fluence,132905,Düz,Dizel,Önden Çekiş,60.0,1461,85.0,0,0,13.017002861746503
610000,11,Peugeot,508 1.6 HDi Active,508,191952,Düz,Dizel,Önden Çekiş,72.0,1560,112.0,2,0,13.321214236149494
370000,13,Ford,Fiesta 1.4 Titanium,Fiesta,131000,Düz,LPG & Benzin,Önden Çekiş,42.0,1388,96.0,0,0,12.821258284620408
365000,15,Volkswagen,Jetta 1.6 Primeline,Jetta,115062,Düz,Benzin,Önden Çekiş,55.0,1595,102.0,6,0,12.80765263256463
319900,13,Opel,Astra Sedan 1.6 Enjoy,Astra,116556,Düz,LPG & Benzin,Önden Çekiş,52.0,1598,115.0,3,5,12.675763725937609
270000,16,Hyundai,Getz 1.5 VGT 4 HY KLM ABS SR,Getz,235000,Düz,Dizel,Önden Çekiş,45.0,1493,110.0,0,0,12.506177237980511
370000,6,Renault,Symbol 1.5 dCi Joy,Symbol,110577,Düz,Dizel,Önden Çekiş,50.0,1461,90.0,0,0,12.821258284620408
355000,12,Ford,Focus 1.6 TDCi Comfort,Focus,194000,Düz,Dizel,Önden Çekiş,53.0,1560,95.0,0,0,12.779873068457553
500000,9,Bmw,116d EfficientDynamics,1 Serisi,223550,Düz,Dizel,Arkadan İtiş,52.0,1598,116.0,2,0,13.122363377404328
280000,17,Fiat,Marea 1.6 16V Liberty,Marea,143737,Düz,Benzin,Önden Çekiş,63.0,1596,103.0,4,2,12.542544882151386
300000,11,Renault,Symbol 1.5 dCi Authentique,Symbol,134613,Düz,Dizel,Önden Çekiş,50.0,1461,65.0,0,0,12.611537753638338
300000,8,Fiat,Linea 1.3 Multijet Pop,Linea,155591,Düz,Dizel,Önden Çekiş,45.0,1248,95.0,2,0,12.611537753638338
385000,8,Renault,Clio 1.5 dCi Joy,Clio,107776,Düz,Dizel,Önden Çekiş,45.0,1461,75.0,0,0,12.86099861326992
430000,9,Hyundai,i20 1.4 CRDI JUMP,i20,107943,Düz,Dizel,Önden Çekiş,45.0,1396,90.0,1,2,12.971540487669746
340000,11,Renault,Clio 1.2 16V Joy,Clio,182000,Düz,Benzin,Önden Çekiş,45.0,1149,75.0,0,0,12.736700896592344
350000,8,Renault,Clio 1.2 16V Joy,Clio,137370,Düz,LPG & Benzin,Önden Çekiş,45.0,1149,75.0,3,0,12.765688433465597
182000,17,Peugeot,206 1.4 Fever,206,204317,Düz,Dizel,Önden Çekiş,50.0,1360,75.0,8,1,12.111761966058932
230000,12,Fiat,Punto EVO 1.3 Mjet My Life Start-Stop,Punto,217393,Düz,Dizel,Önden Çekiş,45.0,1248,75.0,4,0,12.345834587905333
450000,7,Renault,Kangoo Multix 1.5 dCi Touch,Kangoo,131059,Düz,Dizel,Önden Çekiş,60.0,1461,90.0,5,0,13.017002861746503
272000,8,Fiat,1.3 MultiJet Safeline 90 Ps Combi,Doblo,223549,Düz,Dizel,Önden Çekiş,60.0,1248,89.0,3,2,12.513557345278134
475000,4,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,104756,Düz,Dizel,Önden Çekiş,45.0,1248,94.0,0,0,13.071070083016778
475000,6,Renault,1.5 DCI Joy 75 Ps Hatchback,Clio,111837,Düz,Dizel,Önden Çekiş,45.0,1461,74.0,0,0,13.071070083016778
360000,8,Fiat,1.3 MultiJet Premio Plus 90 Ps Combi,Doblo,161736,Düz,Dizel,Önden Çekiş,60.0,1248,89.0,0,0,12.793859310432293
210900,16,Citroen,C3 1.4 HDi X Furio,C3,184740,Düz,Dizel,Önden Çekiş,47.0,1398,70.0,3,2,12.259139366466865
280000,14,Chevrolet,1.2 LS 84 Ps Sedan,Aveo,130000,Düz,LPG & Benzin,Önden Çekiş,45.0,1206,84.0,0,0,12.542544882151386
452900,2,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,7338,Düz,Benzin,Önden Çekiş,45.0,1368,94.0,0,0,13.023426629544305
419900,3,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,21914,Düz,Benzin,Önden Çekiş,45.0,1368,94.0,0,0,12.947771866672285
550000,7,Volkswagen,2.0 TDI SCR BMT Comfortline 102 Ps Combi,Caddy,83786,Düz,Dizel,Önden Çekiş,60.0,1968,101.0,0,0,13.217673557208654
400000,6,Renault,Kangoo Multix 1.5 dCi Joy,Kangoo,193051,Düz,Dizel,Önden Çekiş,60.0,1461,90.0,5,2,12.89921982609012
320000,12,Citroen,C4 1.4 VTi Attraction,C4,131500,Düz,Benzin,Önden Çekiş,60.0,1397,95.0,5,0,12.676076274775909
510000,2,Fiat,1.6 MultiJet Trekking 120 Ps Combi,Doblo,33696,Düz,Dizel,Önden Çekiş,60.0,1598,118.0,2,0,13.142166004700508
485000,3,Fiat,1.6 MultiJet 20.Yıl Ozel Seri 120 Ps Combi,Doblo,104531,Düz,Dizel,Önden Çekiş,60.0,1598,118.0,0,0,13.091904169919621
290000,23,Bmw,320Ci Otomatik 170 Ps Coupe,3 Serisi,295000,Düz,LPG & Benzin,Arkadan İtiş,63.0,2171,168.0,0,0,12.577636201962656
599900,8,Fiat,1.4 T MultiAir Cross Plus TCT 140 Ps Crossover,500 X,79422,Düz,Benzin,Önden Çekiş,48.0,1368,138.0,1,0,13.304518253641184
229750,19,Chevrolet,Lacetti 1.6 16V SX Otomatik,Lacetti,192000,Düz,LPG & Benzin,Önden Çekiş,60.0,1598,109.0,0,0,12.344747040217934
610000,2,Peugeot,1.5 BlueHDI Allure EAT8 132 Ps Hatchback,208,29700,Otomatik,Dizel,Önden Çekiş,41.0,1499,130.0,2,2,13.321214236149494
615000,6,Peugeot,1.2 PureTech Active EAT6 132 Ps Hatchback,308,38767,Otomatik,Benzin,Önden Çekiş,53.0,1199,130.0,0,0,13.329377546788654
365000,11,Skoda,Fabia 1.2 Optimal,Fabia,135812,Düz,Benzin,Önden Çekiş,45.0,1198,70.0,4,2,12.80765263256463
400000,15,Toyota,Auris 1.4 D-4D Comfort,Auris,193000,Düz,Dizel,Önden Çekiş,55.0,1364,90.0,2,0,12.89921982609012
575000,2,Peugeot,1.5 BlueHDI Active EAT8 132 Ps Hatchback,208,53500,Otomatik,Dizel,Önden Çekiş,41.0,1499,130.0,0,3,13.262125319779487
329000,1,Hyundai,1.4 MPI Jump 100 Ps Hatchback,i20,200267,Düz,LPG & Benzin,Önden Çekiş,40.0,1368,99.0,2,0,12.70381302974751
489900,3,Fiat,1.4 16V Fire Mirror 95 Ps Hatchback,Egea,28603,Düz,Benzin,Önden Çekiş,50.0,1368,94.0,0,0,13.101956567626667
300000,13,Hyundai,1.4 Expo Gold Plus 97 Ps Sedan,Accent Era,214815,Düz,LPG & Benzin,Önden Çekiş,45.0,1399,95.0,0,2,12.611537753638338
415000,8,Seat,Ibiza ST 1.4 16V Style,Ibiza,98500,Düz,LPG & Benzin,Önden Çekiş,45.0,1390,85.0,3,0,12.936033799212835
300000,23,Honda,1.6i VTEC ES 110 Ps Sedan,Civic,194759,Düz,LPG & Benzin,Önden Çekiş,50.0,1590,109.0,6,4,12.611537753638338
497500,3,Peugeot,1.5 BlueHDI Active 102 Ps Sedan,301,38893,Düz,Dizel,Önden Çekiş,50.0,1499,100.0,3,1,13.117350835580785
475000,2,Fiat,1.4 Fire Easy Plus 95 Ps Sedan,Egea,45218,Düz,Benzin,Önden Çekiş,45.0,1368,94.0,0,0,13.071070083016778
604000,2,Fiat,1.6 MultiJet Premio Plus 120 Ps Combi,Doblo,128902,Düz,Dizel,Önden Çekiş,60.0,1598,118.0,0,0,13.311329476916953
438000,6,Fiat,1.6 16V MultiJet II Urban Plus 120 Ps Station Wago,Egea,104666,Düz,Dizel,Önden Çekiş,50.0,1598,118.0,0,3,12.989974189358584
800000,3,Fiat,1.3 MultiJet Urban Plus 95 Ps Sedan,Egea,49698,Düz,Dizel,Önden Çekiş,45.0,1248,94.0,0,0,13.592367006650065
470000,3,Fiat,1.3 MultiJet Urban Plus 95 Ps Sedan,Egea,97570,Düz,Dizel,Önden Çekiş,45.0,1248,94.0,0,0,13.060487973686241
680000,6,Nissan,1.5 DCI Visia 110 Ps SUV,Qashqai,96188,Düz,Dizel,Önden Çekiş,55.0,1461,108.0,0,0,13.42984807715229
560000,4,Renault,1.5 DCI Touch 90 Ps Hatchback,Clio,84420,Düz,Dizel,Önden Çekiş,45.0,1461,89.0,1,0,13.235692062711331
445000,3,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,11399,Düz,Benzin,Önden Çekiş,45.0,1368,94.0,1,2,13.005829561148378
440900,2,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,17201,Düz,Benzin,Önden Çekiş,45.0,1368,94.0,0,0,12.99657337134603
485000,1,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,6154,Düz,Benzin,Önden Çekiş,45.0,1368,94.0,0,0,13.091904169919621
485000,1,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,6013,Düz,Benzin,Önden Çekiş,45.0,1368,94.0,0,0,13.091904169919621
475000,3,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,24859,Düz,LPG & Benzin,Önden Çekiş,45.0,1368,94.0,2,0,13.071070083016778
445000,2,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,21650,Düz,Benzin,Önden Çekiş,45.0,1368,94.0,0,0,13.005829561148378
425000,3,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,29166,Düz,Benzin,Önden Çekiş,45.0,1368,94.0,0,0,12.959844447906553
501500,4,Fiat,1.4 16V Fire Urban Plus 95 Ps Hatchback,Egea,63857,Düz,LPG & Benzin,Önden Çekiş,50.0,1368,94.0,2,2,13.125358886384127
540000,1,Fiat,1.4 Fire Urban 95 Ps Sedan,Egea,15257,Düz,Benzin,Önden Çekiş,45.0,1368,94.0,0,0,13.199324418540456
481000,4,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,79719,Düz,Dizel,Önden Çekiş,45.0,1248,94.0,0,0,13.083622549087899
650000,5,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,96030,Düz,Dizel,Önden Çekiş,45.0,1248,94.0,0,0,13.38472764187182
480000,3,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,70600,Düz,Dizel,Önden Çekiş,45.0,1248,94.0,0,0,13.081541382884074
420000,6,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,73154,Düz,Dizel,Önden Çekiş,45.0,1248,94.0,1,0,12.948009990259552
485000,5,Fiat,1.6 MultiJet Urban DCT 120 Ps Sedan,Egea,81500,Otomatik,Dizel,Önden Çekiş,45.0,1598,118.0,0,0,13.091904169919621
350000,13,Opel,Astra HB 1.6 Enjoy Easytronic,Astra,136000,Otomatik,Benzin,Önden Çekiş,52.0,1598,115.0,3,3,12.765688433465597
430000,10,Volkswagen,Golf 1.2 TSI BMT Midline Plus,Golf,174204,Düz,Benzin,Önden Çekiş,50.0,1197,105.0,6,3,12.971540487669746
420000,11,Hyundai,i20 1.4 CVVT Sense Otomatik,i20,115091,Düz,LPG & Benzin,Önden Çekiş,45.0,1396,100.0,0,0,12.948009990259552
370000,16,Honda,Civic 1.6 Elegance,Civic,259931,Düz,LPG & Benzin,Önden Çekiş,50.0,1595,125.0,5,0,12.821258284620408
310000,9,Fiat,Linea 1.4 Fire Actual,Linea,155000,Düz,Benzin,Önden Çekiş,45.0,1368,77.0,2,0,12.644327576461329
290000,10,Hyundai,i20 1.4 CRDI JUMP,i20,218055,Düz,Benzin,Önden Çekiş,45.0,1396,90.0,8,4,12.577636201962656
250000,12,Toyota,COROLLA SEDAN 1.6 ELEGANT,Corolla,353580,Düz,Dizel,Önden Çekiş,55.0,1598,124.0,0,3,12.429216196844383
315000,8,Fiat,Linea 1.3 Multijet Pop,Linea,197489,Düz,Dizel,Önden Çekiş,45.0,1248,95.0,4,1,12.66032791780777
345000,6,Fiat,Linea 1.3 Multijet Pop,Linea,185912,Düz,Dizel,Önden Çekiş,45.0,1248,95.0,1,0,12.751299696013497
310000,13,Ford,Focus 1.6 TDCi Trend,Focus,274000,Düz,Dizel,Önden Çekiş,55.0,1560,90.0,4,0,12.644327576461329
305000,12,Fiat,Doblo Combi 1.3 Multijet Dynamic,Doblo,204118,Düz,Dizel,Önden Çekiş,60.0,1248,90.0,1,0,12.628067055589549
219900,18,Renault,Clio 1.4 16V Authentique,Clio,129197,Düz,Benzin,Önden Çekiş,55.0,1390,98.0,0,0,12.300928176542852
219900,17,Fiat,Palio 1.4 Fire Active,Palio,70037,Düz,Benzin,Önden Çekiş,51.0,1368,77.0,6,1,12.300928176542852
520000,7,Renault,Fluence 1.5 dCi Icon,Fluence,102074,Otomatik,Dizel,Önden Çekiş,60.0,1461,110.0,0,0,13.16158409055761
300000,14,Renault,Symbol 1.4 8V Authentique,Symbol,105000,Düz,Benzin,Önden Çekiş,50.0,1390,75.0,12,0,12.611537753638338
515000,11,Volkswagen,Jetta 1.6 TDI Comfortline DSG,Jetta,120550,Otomatik,Dizel,Önden Çekiş,55.0,1598,105.0,6,2,13.151922179645874
300000,11,Opel,Corsa 1.3 CDTI Essentia,Corsa,207900,Düz,Dizel,Önden Çekiş,45.0,1248,75.0,0,0,12.611537753638338
265000,13,Chevrolet,Cruze 1.6 LS,Cruze,199520,Düz,LPG & Benzin,Önden Çekiş,60.0,1598,113.0,0,0,12.487485104968359
268000,11,Fiat,Punto 1.2 Pop S-S,Punto,159930,Düz,Benzin,Önden Çekiş,45.0,1242,69.0,0,0,12.498742259492994
