,fiyat,yil,marka,seri,model,kilometre,vites_tipi,yakit_tipi,cekis,yakit_deposu,motor_hacmi,motor_gucu,boya_degisen,boyali_parca,degisen_parca
655,825000,2011.0,BMW,5 Serisi,520d Exclusive,329.0,Otomatik,Dizel,Arkadan İtiş,70.0,1995.0,184.0,,0,0
656,510000,2015.0,Kia,Ceed,1.6 CRDi Concept Plus,128.0,Yarı Otomatik,Dizel,Önden Çekiş,53.0,1582.0,136.0,3 boyalı,3,0
657,250000,2010.0,Fiat,Linea,1.3 Multijet Emotion Plus,216.0,Yarı Otomatik,Dizel,Önden Çekiş,45.0,1248.0,90.0,"1 değişen, 2 boyalı",2,1
658,420000,2012.0,Volkswagen,Golf,1.4 TSi Trendline,152.655,Düz,Benzin,Önden Çekiş,55.0,1390.0,122.0,"1 değişen, 5 boyalı",5,1
659,155000,2000.0,Honda,Civic,1.6 i ES,298.0,Düz,Benzin,Önden Çekiş,,1590.0,126.0,,0,0
660,285000,2004.0,Volkswagen,Polo,1.4 Basicline,252.0,Otomatik,LPG & Benzin,Önden Çekiş,45.0,1390.0,75.0,"2 değişen, 4 boyalı",4,2
661,675000,2022.0,Hyundai,i20,1.4 MPI Style Plus,1.4,Otomatik,Benzin,Önden Çekiş,40.0,1368.0,100.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
662,297000,2011.0,Kia,Pro Ceed,1.6 CRDi Cool,197.0,Otomatik,Dizel,Önden Çekiş,53.0,1582.0,115.0,"2 değişen, 3 boyalı",3,2
663,357000,2011.0,Chevrolet,Cruze,1.6 LS Plus,220.0,Düz,LPG & Benzin,Önden Çekiş,60.0,1598.0,124.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
664,560000,2014.0,Skoda,Octavia,1.6 TDI Optimal,113.0,Yarı Otomatik,Dizel,Önden Çekiş,50.0,1598.0,105.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
665,220000,2011.0,Renault,Symbol,1.5 dCi Authentique,275.0,Düz,Dizel,Önden Çekiş,50.0,1461.0,65.0,"2 değişen, 6 boyalı",6,2
