,fiyat,yil,marka,seri,model,kilometre,vites_tipi,yakit_tipi,cekis,yakit_deposu,motor_hacmi,motor_gucu,boya_degisen,boyali_parca,degisen_parca
980,250000,2003.0,Volkswagen,Golf,1.6 Comfortline,40.0,Düz,LPG & Benzin,Önden Çekiş,55.0,1595.0,105.0,1 boyalı,1,0
981,320000,2013.0,Hyundai,i20,1.2 D-CVVT Jump,140.0,Düz,LPG & Benzin,Önden Çekiş,45.0,1248.0,85.0,"1 değişen, 1 boyalı",1,1
982,315000,2011.0,Renault,Megane,1.5 dCi Privilege,237.0,Düz,Dizel,Önden Çekiş,60.0,1461.0,105.0,"1 değişen, 4 boyalı",4,1
983,349999,2013.0,Volkswagen,Polo,1.6 TDi Comfortline,215.0,Düz,Dizel,Önden Çekiş,45.0,1598.0,90.0,4 boyalı,4,0
984,349999,2013.0,Volkswagen,Polo,1.6 TDi Comfortline,215.0,Düz,Dizel,Önden Çekiş,45.0,1598.0,90.0,4 boyalı,4,0
985,460000,2009.0,Honda,Civic,1.6 Elegance,149.0,Otomatik,LPG & Benzin,Önden Çekiş,50.0,1595.0,125.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
986,1100000,2016.0,Audi,A4,A4 Sedan 1.4 TFSI,105.0,Yarı Otomatik,Benzin,Önden Çekiş,54.0,1395.0,150.0,"2 değişen, 3 boyalı",3,2
987,489500,2017.0,Hyundai,i20,1.4 MPI Jump,77.2,Otomatik,Benzin,Önden Çekiş,50.0,1368.0,100.0,2 boyalı,2,0
988,165000,1998.0,Tofaş,Doğan,SLX ie,193.0,Düz,LPG & Benzin,Arkadan İtiş,45.0,1581.0,96.0,,0,0
989,378000,2011.0,Ford,Focus,1.6 Comfort,141.0,Düz,Benzin,Önden Çekiş,55.0,1596.0,100.0,"2 değişen, 7 boyalı",7,2
990,250000,2010.0,Opel,Astra,1.3 CDTI Enjoy Elegance,315.0,Düz,Dizel,Önden Çekiş,52.0,1248.0,90.0,,0,0
991,185000,2008.0,Fiat,Linea,1.3 Multijet Active,395.0,Düz,Dizel,Önden Çekiş,45.0,1248.0,90.0,,0,0
992,354000,2005.0,Volkswagen,Golf,1.6 Primeline,112.0,Otomatik,Benzin,Önden Çekiş,55.0,1595.0,102.0,"2 değişen, 1 boyalı",1,2
993,705000,2021.0,Volkswagen,Polo,1.0 Comfortline,9.8,Yarı Otomatik,Benzin,Önden Çekiş,40.0,999.0,95.0,,0,0
994,210000,2000.0,Toyota,Corolla,1.3 Base,260.0,Düz,LPG & Benzin,,,,,,0,0
995,225000,2008.0,Citroen,C4,1.6 HDi SX,314.0,Düz,Dizel,Önden Çekiş,60.0,1560.0,93.0,1 boyalı,1,0
996,494000,2015.0,Toyota,Corolla,1.4 D-4D Advance,118.0,Düz,Dizel,Önden Çekiş,55.0,1364.0,90.0,,0,0
997,85000,1994.0,Hyundai,Excel,1.5 LS,270.0,Düz,LPG & Benzin,,,,,,0,0
998,264500,2009.0,Hyundai,Accent Era,1.4 Start,200.0,Düz,LPG & Benzin,Önden Çekiş,45.0,1399.0,97.0,,0,0
999,425000,2009.0,Honda,Civic,1.6 i-VTEC Premium,150.0,Düz,LPG & Benzin,Önden Çekiş,50.0,1595.0,125.0,2 boyalı,2,0
1000,415000,2018.0,Peugeot,301,1.6 BlueHDI Allure,78.0,Düz,Dizel,Önden Çekiş,50.0,1560.0,102.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
1001,115000,1997.0,Ford,Escort,1.6 CLX,205.0,Düz,LPG & Benzin,Önden Çekiş,,1597.0,90.0,,0,0
1002,175000,2003.0,Renault,Clio,1.5 dCi Expression,295.0,Düz,Dizel,Önden Çekiş,50.0,1461.0,65.0,4 boyalı,4,0
1003,245000,2004.0,Renault,Megane,1.6 Dynamique,188.0,Düz,Benzin,Önden Çekiş,60.0,1598.0,115.0,3 boyalı,3,0
1004,165000,2001.0,Fiat,Siena,1.4 EL,263.0,Düz,LPG & Benzin,Önden Çekiş,,1372.0,71.0,,0,0
1005,115000,1998.0,Fiat,Uno,70 SX,238.6,Düz,LPG & Benzin,Önden Çekiş,,1372.0,71.0,,0,0
1006,260000,2008.0,Hyundai,Accent Era,1.4 Select,116.0,Düz,LPG & Benzin,Önden Çekiş,45.0,1399.0,97.0,2 değişen,0,2
1007,440000,2015.0,Toyota,Corolla,1.33 Life,121.5,Düz,LPG & Benzin,Önden Çekiş,55.0,1329.0,99.0,2 boyalı,2,0
1008,287500,2012.0,Opel,Corsa,1.3 CDTI Essentia,215.0,Düz,Dizel,Önden Çekiş,45.0,1248.0,75.0,,0,0
1009,375000,2017.0,Fiat,Egea,1.3 Multijet Urban,226.0,Düz,Dizel,Önden Çekiş,45.0,1248.0,95.0,,0,0
1010,104000,1998.0,Skoda,Felicia,1.3 LX,236.0,Düz,LPG & Benzin,Önden Çekiş,42.0,1289.0,55.0,"1 değişen, 12 boyalı",12,1
1011,160000,1992.0,Renault,R 12,Toros,80.0,Düz,LPG & Benzin,Önden Çekiş,,1397.0,72.0,,0,0
1012,539000,2014.0,Volkswagen,Jetta,1.6 TDi Comfortline,160.0,Yarı Otomatik,Dizel,Önden Çekiş,55.0,1598.0,105.0,,0,0
1013,108500,1998.0,Tofaş,Şahin,S,262.0,Düz,LPG & Benzin,Arkadan İtiş,,1581.0,80.0,,0,0
1014,160000,2007.0,Ford,Fiesta,1.4 TDCi Sport,346.0,Düz,Dizel,,,,,,0,0
1015,200000,2006.0,Renault,Megane,1.5 dCi Expression,323.0,Düz,Dizel,Önden Çekiş,60.0,1461.0,86.0,"4 değişen, 5 boyalı",5,4
1016,379750,2011.0,Renault,Megane,1.5 dCi Color Edition,198.0,Düz,Dizel,Önden Çekiş,60.0,1461.0,105.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
1017,170000,1993.0,BMW,3 Serisi,318i Standart,325.0,Düz,LPG & Benzin,Arkadan İtiş,,1796.0,115.0,,0,0
1018,175000,2005.0,Hyundai,Getz,1.5 CRDi VGT,200.0,Düz,Dizel,Önden Çekiş,45.0,1493.0,88.0,"3 değişen, 4 boyalı",4,3
1019,1180000,2012.0,Mercedes - Benz,E,250 CDI Elite Avantgarde,300.0,Otomatik,Dizel,4WD (Sürekli),59.0,2143.0,204.0,,0,0
1020,260000,2004.0,Volkswagen,Golf,1.6 Comfortline,220.0,Otomatik,Benzin,,,,,,0,0
1021,255000,2011.0,Seat,Ibiza,1.4 Reference,208.0,Düz,LPG & Benzin,Önden Çekiş,45.0,1390.0,85.0,2 değişen,0,2
1022,299000,2012.0,Chevrolet,Aveo,1.3 D LTZ,145.0,Düz,Dizel,Önden Çekiş,46.0,1248.0,95.0,"1 değişen, 1 boyalı",1,1
1023,380000,2012.0,Peugeot,308,1.6 VTi Access,111.0,Düz,LPG & Benzin,Önden Çekiş,60.0,1598.0,122.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
1024,270000,2007.0,Opel,Astra,1.3 CDTI Essentia,232.0,Düz,Dizel,Önden Çekiş,52.0,1248.0,90.0,,0,0
1025,380000,2013.0,Hyundai,Accent Blue,1.4 D-CVVT Mode Plus,232.0,Otomatik,LPG & Benzin,Önden Çekiş,43.0,1368.0,100.0,1 boyalı,1,0
1026,143000,2000.0,Tofaş,Doğan,SLX ie,230.0,Düz,LPG & Benzin,Arkadan İtiş,45.0,1581.0,96.0,1 değişen,0,1
1027,545000,2012.0,BMW,1 Serisi,116d ED EfficientDynamics,175.0,Düz,Dizel,Arkadan İtiş,52.0,1598.0,116.0,,0,0
1028,535000,2015.0,Opel,Astra,1.4 T Sport,55.555,Otomatik,LPG & Benzin,Önden Çekiş,56.0,1364.0,140.0,,0,0
1029,427000,2014.0,Ford,Focus,1.6 TDCi Style,239.0,Düz,Dizel,Önden Çekiş,53.0,1560.0,115.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
1030,195000,2011.0,Renault,Symbol,1.5 dCi Authentique,300.0,Düz,Dizel,Önden Çekiş,50.0,1461.0,65.0,"1 değişen, 12 boyalı",12,1
1031,470000,2015.0,Seat,Leon,1.6 TDI CR Style,151.0,Yarı Otomatik,Dizel,Önden Çekiş,50.0,1598.0,105.0,"2 değişen, 1 boyalı",1,2
1032,175000,2001.0,Renault,Clio,1.4,274.0,Düz,LPG & Benzin,Önden Çekiş,50.0,1390.0,98.0,2 boyalı,2,0
1033,490000,2016.0,Peugeot,308,1.6 e-HDi Classic Edition Plus,122.0,Düz,Dizel,Önden Çekiş,53.0,1560.0,116.0,,0,0
1034,268000,2008.0,Ford,Focus,1.6 TDCi Titanium X,357.0,Düz,Dizel,Önden Çekiş,55.0,1560.0,110.0,"1 değişen, 3 boyalı",3,1
1035,375000,2009.0,Volkswagen,Golf,1.4 TSi Trendline,228.0,Yarı Otomatik,Benzin,Önden Çekiş,55.0,1390.0,122.0,"1 değişen, 3 boyalı",3,1
1036,355000,2015.0,Renault,Fluence,1.5 dCi Touch,218.0,Düz,Dizel,Önden Çekiş,60.0,1461.0,90.0,"1 değişen, 6 boyalı",6,1
1037,389000,2017.0,Renault,Symbol,1.5 dCi Joy,134.95,Düz,Dizel,Önden Çekiş,50.0,1461.0,90.0,1 boyalı,1,0
1038,305000,2009.0,Ford,Fiesta,1.4 TDCi Trend,193.0,Düz,Dizel,Önden Çekiş,45.0,1399.0,70.0,2 boyalı,2,0
1039,545000,2021.0,Renault,Clio,1.0 TCe Joy,28.0,Otomatik,Benzin,Önden Çekiş,42.0,999.0,90.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
1040,265000,2004.0,Volkswagen,Bora,1.6 Pacific Variant,278.0,Düz,LPG & Benzin,Önden Çekiş,55.0,1595.0,105.0,3 boyalı,3,0
1041,165000,2000.0,Skoda,Felicia,1.3 GLXi,244.322,Düz,Benzin,Önden Çekiş,42.0,1289.0,68.0,,0,0
1042,198750,2010.0,Chevrolet,Aveo,1.2 S,143.5,Düz,LPG & Benzin,Önden Çekiş,45.0,1150.0,72.0,,0,0
1043,355000,2011.0,Renault,Megane,1.5 dCi Authentique,160.0,Düz,Dizel,Önden Çekiş,60.0,1461.0,85.0,,0,0
1044,129500,1998.0,Renault,R 19,1.6 Europa RNA,156.0,Düz,LPG & Benzin,Önden Çekiş,,1598.0,90.0,,0,0
1045,112000,1995.0,Fiat,Uno,70 SX,270.0,Düz,LPG & Benzin,Önden Çekiş,,1372.0,71.0,,0,0
1046,520000,2012.0,Audi,A3,A3 Sportback 1.6 Attraction,170.0,Düz,LPG & Benzin,Önden Çekiş,55.0,1595.0,102.0,1 boyalı,1,0
1047,320000,2013.0,Citroen,C-Elysee,1.2 VTi Comfort,114.0,Düz,Benzin,Önden Çekiş,50.0,1199.0,73.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
1048,305000,2006.0,Ford,Focus,1.6 TDCi Ghia,208.0,Düz,Dizel,Önden Çekiş,55.0,1560.0,110.0,2 boyalı,2,0
1049,160000,1993.0,Honda,Civic,1.5 EL,325.333,Otomatik,LPG & Benzin,Önden Çekiş,,1493.0,90.0,,0,0
1050,115000,1998.0,Citroen,Saxo,1.5D X,315.0,Düz,Dizel,Takasa Uygun,,,,,0,0
1051,105000,1989.0,Tofaş,Doğan,SLX,190.0,Düz,LPG & Benzin,Arkadan İtiş,,1581.0,83.0,,0,0
1052,750000,2017.0,Volkswagen,Passat,1.6 TDi BlueMotion Highline,51.8,Düz,Dizel,Önden Çekiş,66.0,1598.0,120.0,3 değişen,0,3
1053,280000,2014.0,Renault,Symbol,1.5 dCi Joy,320.0,Düz,Dizel,Önden Çekiş,50.0,1461.0,75.0,3 boyalı,3,0
1054,155000,1999.0,Ford,Mondeo,2.0 Ghia,262.0,Otomatik,LPG & Benzin,Önden Çekiş,,1988.0,130.0,,0,0
1055,245000,2008.0,Renault,Megane,1.5 dCi Expression,265.0,Otomatik,Dizel,Önden Çekiş,60.0,1461.0,100.0,2 boyalı,2,0
1056,462500,2015.0,Seat,Toledo,1.6 TDI Style,108.5,Yarı Otomatik,Dizel,Önden Çekiş,55.0,1598.0,90.0,"1 değişen, 3 boyalı",3,1
1057,410000,2012.0,Renault,Fluence,1.5 dCi Extreme,118.0,Düz,Dizel,Önden Çekiş,60.0,1461.0,110.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
1058,555000,2012.0,Honda,Civic,1.6 i-VTEC ECO Elegance,139.0,Düz,LPG & Benzin,Önden Çekiş,50.0,1595.0,125.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
1059,72000,1993.0,Tofaş,Şahin,Şahin 5 Vites,225.0,Düz,LPG & Benzin,Arkadan İtiş,,1581.0,80.0,,0,0
1060,125000,2003.0,Peugeot,206,1.4 HDi X-line,244.0,Düz,Dizel,Önden Çekiş,,,,,0,0
1061,159000,2005.0,Renault,Clio,1.4 Authentique,253.0,Düz,LPG & Benzin,Önden Çekiş,50.0,1390.0,75.0,"2 değişen, 2 boyalı",2,2
1062,927000,2020.0,Ford,Focus,1.5 TDCi Titanium,42.0,Otomatik,Dizel,Önden Çekiş,47.0,1500.0,120.0,,0,0
1063,142000,1998.0,Volkswagen,Polo,1.4 Sportline,359.0,Düz,LPG & Benzin,Önden Çekiş,45.0,1390.0,101.0,Tamamı boyalı,Tamamı,0
1064,94500,1992.0,Tofaş,Doğan,L,265.0,Düz,LPG & Benzin,Arkadan İtiş,50.0,1581.0,83.0,Tamamı boyalı,Tamamı,0
1065,147000,1985.0,Mercedes - Benz,200,D,475.5,Düz,Dizel,Arkadan İtiş,,1997.0,75.0,,0,0
1066,328000,2006.0,Renault,Megane,1.5 dCi Privilege,210.0,Düz,Dizel,Önden Çekiş,60.0,1461.0,106.0,,0,0
1067,210000,2010.0,Fiat,Linea,1.3 Multijet Active,275.0,Düz,Dizel,Önden Çekiş,45.0,1248.0,90.0,"1 değişen, 3 boyalı",3,1
1068,207000,2012.0,Dacia,Logan,1.5 dCi MCV Ambiance,265.0,Düz,Dizel,Önden Çekiş,50.0,1461.0,70.0,"2 değişen, 8 boyalı",8,2
1069,165000,1997.0,Opel,Corsa,1.4 Swing,248.0,Düz,LPG & Benzin,Önden Çekiş,,1388.0,90.0,,0,0
1070,285000,2012.0,Renault,Megane,1.5 dCi Impressor,265.0,Düz,Dizel,Önden Çekiş,60.0,1461.0,105.0,,0,0
1071,355555,2011.0,Ford,Fiesta,1.4 Titanium X,125.0,Otomatik,Benzin,Önden Çekiş,42.0,1388.0,96.0,"1 değişen, 6 boyalı",6,1
1072,385000,2017.0,Citroen,C-Elysee,1.6 HDi Feel,130.0,Düz,Dizel,Önden Çekiş,48.0,1560.0,93.0,,0,0
1073,438000,2018.0,Renault,Clio,1.5 dCi Joy,61.7,Düz,Dizel,Önden Çekiş,45.0,1461.0,75.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
1074,547000,2019.0,Hyundai,i20,1.4 MPI Jump,14.0,Otomatik,Benzin,Önden Çekiş,50.0,1368.0,100.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
1075,460000,2013.0,Seat,Leon,1.4 TSI FR,119.9,Düz,Benzin,Önden Çekiş,50.0,1395.0,140.0,"3 değişen, 3 boyalı",3,3
1076,435000,2016.0,Renault,Fluence,1.5 dCi Icon,268.0,Yarı Otomatik,Dizel,Önden Çekiş,60.0,1461.0,110.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
1077,225000,2011.0,Renault,Clio,1.5 dCi Grandtour Executive,245.0,Düz,Dizel,Önden Çekiş,55.0,1461.0,85.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
1078,244750,2005.0,Ford,Fiesta,1.4 Comfort,205.0,Düz,LPG & Benzin,Önden Çekiş,45.0,1388.0,80.0,,0,0
1079,500000,2012.0,Audi,A3,A3 Sportback 1.6 Attraction,92.0,Düz,Benzin,Önden Çekiş,55.0,1595.0,102.0,,0,0
1080,79000,1993.0,Tofaş,Doğan,SL,259.087,Düz,LPG & Benzin,Arkadan İtiş,45.0,1581.0,83.0,,0,0
1081,365000,2014.0,Hyundai,Accent Blue,1.6 CRDI Biz,138.0,Düz,Dizel,Önden Çekiş,43.0,1582.0,128.0,3 boyalı,3,0
1082,219000,2006.0,Opel,Vectra,1.6 Essentia,355.0,Düz,LPG & Benzin,Önden Çekiş,61.0,1598.0,105.0,,0,0
1083,230000,2011.0,Renault,Symbol,1.5 dCi Authentique,146.5,Düz,Dizel,Önden Çekiş,50.0,1461.0,65.0,5 boyalı,5,0
1084,449999,2014.0,Opel,Astra,1.3 CDTI Edition,169.8,Düz,Dizel,Önden Çekiş,56.0,1248.0,95.0,"1 değişen, 2 boyalı",2,1
1085,510000,2017.0,Toyota,Corolla,1.4 D-4D Touch,135.0,Yarı Otomatik,Dizel,Önden Çekiş,55.0,1364.0,90.0,4 boyalı,4,0
1086,282000,2007.0,Ford,Focus,1.6 TDCi Trend,218.0,Düz,Dizel,Önden Çekiş,55.0,1560.0,110.0,"2 değişen, 2 boyalı",2,2
1087,429000,2012.0,Opel,Astra,1.3 CDTI Sport,159.0,Düz,Dizel,Önden Çekiş,56.0,1248.0,95.0,1 değişen,0,1
1088,85750,1989.0,Ford,Taunus,1.6 GT,85.3,Düz,Benzin,Arkadan İtiş,,1592.0,101.0,,0,0
1089,158000,1998.0,Tofaş,Doğan,S,100.0,Düz,LPG & Benzin,Arkadan İtiş,50.0,1581.0,83.0,11 boyalı,11,0
1090,312000,2006.0,Volkswagen,Passat,2.0 TDi Comfortline,320.0,Yarı Otomatik,Dizel,Önden Çekiş,70.0,1968.0,140.0,"3 değişen, 1 boyalı",1,3
1091,305000,2010.0,Chevrolet,Cruze,1.6 LS,175.0,Otomatik,LPG & Benzin,Önden Çekiş,60.0,1598.0,113.0,"1 değişen, 3 boyalı",3,1
1092,149000,2001.0,Tofaş,Şahin,1.4 ie,131.0,Düz,LPG & Benzin,Arkadan İtiş,,1372.0,71.0,,0,0
1093,230000,1998.0,Opel,Astra,1.6,217.4,Düz,LPG & Benzin,Belirtilmemiş,,,,,0,0
1094,495000,2016.0,Toyota,Corolla,1.4 D-4D Touch,172.0,Yarı Otomatik,Dizel,Önden Çekiş,55.0,1364.0,90.0,"1 değişen, 2 boyalı",2,1
1095,87000,1992.0,Skoda,Forman,135 L,185.0,Düz,LPG & Benzin,Önden Çekiş,,1289.0,58.0,,0,0
1096,55000,,Tofaş,Serçe,1990,,,LPG & Benzin,,,,,,0,0
1097,835000,2011.0,BMW,5 Serisi,520d Premium,213.0,Otomatik,Dizel,Arkadan İtiş,70.0,1995.0,184.0,2 değişen,0,2
1098,500000,2018.0,Renault,Clio,1.5 dCi Touch,117.0,Yarı Otomatik,Dizel,Önden Çekiş,45.0,1461.0,90.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
1099,565000,2017.0,Renault,Megane,1.6 Joy,65.0,Düz,LPG & Benzin,Önden Çekiş,49.0,1598.0,115.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
1100,495000,2007.0,BMW,7 Serisi,730d Standart,365.0,Otomatik,Dizel,Arkadan İtiş,88.0,2993.0,231.0,,0,0
1101,223000,2004.0,Renault,Clio,1.2 Authentique,171.0,Düz,LPG & Benzin,Önden Çekiş,55.0,1149.0,75.0,5 boyalı,5,0
1102,735000,2017.0,Hyundai,i30,1.6 CRDi Elite Plus,72.0,Yarı Otomatik,Dizel,Önden Çekiş,50.0,1582.0,136.0,,0,0
1103,400000,2009.0,Honda,Civic,1.8 Sport,195.0,Otomatik,LPG & Benzin,Önden Çekiş,,,,,0,0
1104,153000,2001.0,Renault,Clio,1.4 RNA,215.0,Düz,Benzin,Önden Çekiş,50.0,1390.0,75.0,,0,0
1105,380000,2011.0,Renault,Fluence,1.5 dCi Extreme,182.0,Yarı Otomatik,Dizel,Önden Çekiş,60.0,1461.0,110.0,2 boyalı,2,0
1106,420000,2011.0,Volkswagen,Golf,1.6 TDi Trendline,249.0,Düz,Dizel,Önden Çekiş,55.0,1598.0,105.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
1107,284000,2014.0,Hyundai,i20,1.4 CRDi Jump,224.0,Düz,Dizel,Önden Çekiş,45.0,1396.0,90.0,4 boyalı,4,0
1108,460000,2016.0,Renault,Fluence,1.5 dCi Icon,230.0,Yarı Otomatik,Dizel,Önden Çekiş,60.0,1461.0,110.0,,0,0
1109,600500,2014.0,Volkswagen,Passat,2.0 TDi Comfortline,305.0,Yarı Otomatik,Dizel,,,,,,0,0
1110,498000,2014.0,Ford,Focus,1.6 TDCi Trend X,89.2,Düz,Dizel,Önden Çekiş,53.0,1560.0,95.0,,0,0
1111,442500,2021.0,Citroen,C-Elysee,1.5 BlueHDi Feel,86.95,Düz,Dizel,Önden Çekiş,50.0,1499.0,100.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
1112,215000,2005.0,Renault,Megane,1.4 Authentique,290.0,Düz,LPG & Benzin,Önden Çekiş,60.0,1390.0,98.0,"2 değişen, 2 boyalı",2,2
1113,135000,1997.0,Renault,R 19,1.6 Europa RT,169.0,Düz,LPG & Benzin,Önden Çekiş,,1598.0,90.0,,0,0
1114,480000,2022.0,Renault,Clio,1.0 SCe Joy,70.0,Düz,Benzin,Önden Çekiş,42.0,999.0,65.0,2 boyalı,2,0
1115,245000,2008.0,Volkswagen,Jetta,1.6 Primeline,292.0,Düz,LPG & Benzin,Önden Çekiş,55.0,1595.0,102.0,"3 değişen, 8 boyalı",8,3
1116,349000,2013.0,Renault,Fluence,1.5 dCi Joy,190.0,Yarı Otomatik,Dizel,Önden Çekiş,60.0,1461.0,110.0,,0,0
1117,584000,2017.0,Toyota,Corolla,1.4 D-4D Active,87.0,Yarı Otomatik,Dizel,Önden Çekiş,55.0,1364.0,90.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
1118,205000,2004.0,Volkswagen,Polo,1.4 TDi Basicline,307.0,Düz,Dizel,Önden Çekiş,45.0,1422.0,75.0,1 boyalı,1,0
1119,418000,2011.0,Volkswagen,Golf,1.4 TSi Comfortline,210.5,Düz,LPG & Benzin,Önden Çekiş,55.0,1390.0,122.0,,0,0
1120,355000,1996.0,Mercedes - Benz,E,320 Elegance,282.0,Otomatik,LPG & Benzin,Arkadan İtiş,80.0,3199.0,220.0,"1 değişen, 10 boyalı",10,1
1121,225000,2006.0,Hyundai,Getz,1.5 CRDi VGT,178.0,Düz,Dizel,Önden Çekiş,45.0,1493.0,88.0,"1 değişen, 5 boyalı",5,1
1122,420000,2013.0,Opel,Astra,1.6 Essentia,105.0,Düz,LPG & Benzin,Önden Çekiş,52.0,1598.0,115.0,,0,0
1123,285000,2014.0,Hyundai,i20,1.4 CRDi Jump,200.0,Düz,Dizel,Önden Çekiş,45.0,1396.0,90.0,"3 değişen, 3 boyalı",3,3
1124,92500,1996.0,Fiat,Uno,70 SX,200.0,Düz,LPG & Benzin,Önden Çekiş,,1372.0,71.0,,0,0
1125,675000,2015.0,MINI,Cooper,1.5 D Chili,93.0,Otomatik,Dizel,Önden Çekiş,44.0,1496.0,116.0,,0,0
1126,170000,2006.0,Hyundai,Atos,1.1 GLS,106.0,Otomatik,Benzin,Önden Çekiş,53.0,1086.0,63.0,,0,0
1127,320000,2012.0,Fiat,Linea,1.3 Multijet Pop,158.0,Düz,Dizel,Önden Çekiş,45.0,1248.0,95.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
1128,290000,2011.0,Citroen,C3,1.4 Comfort,143.0,Düz,Benzin,Önden Çekiş,50.0,1360.0,76.0,"1 değişen, 2 boyalı",2,1
1129,85000,1993.0,Renault,R 11,Flash,317.0,Düz,LPG & Benzin,Önden Çekiş,,1721.0,74.0,,0,0
1130,570000,2015.0,Ford,Focus,1.6 TDCi Trend X,90.5,Düz,Dizel,Önden Çekiş,55.0,1560.0,95.0,,0,0
1131,725000,2016.0,Opel,Insignia,1.6 CDTI Sport,107.0,Otomatik,Dizel,Önden Çekiş,70.0,1598.0,136.0,1 boyalı,1,0
1132,1800000,2017.0,BMW,5 Serisi,520i Luxury Line,122.0,Otomatik,Benzin,Arkadan İtiş,68.0,1597.0,170.0,"1 değişen, 1 boyalı",1,1
1133,137000,1996.0,Fiat,Tempra,1.6 ie SLX,266.0,Düz,LPG & Benzin,Önden Çekiş,,1581.0,90.0,,0,0
1134,725000,2014.0,Volvo,S60,1.6 D Advance,176.0,Yarı Otomatik,Dizel,Önden Çekiş,67.0,1560.0,115.0,,0,0
1135,293000,2007.0,Ford,Focus,1.6 TDCi Ghia,226.0,Otomatik,Dizel,Önden Çekiş,55.0,1560.0,110.0,4 boyalı,4,0
1136,107000,2007.0,Tata,Indica,1.4 TDI Trend,213.0,Düz,Dizel,Önden Çekiş,37.0,1405.0,70.0,,0,0
1137,362000,2009.0,Ford,Mondeo,1.6 Selective,183.0,Düz,LPG & Benzin,Önden Çekiş,70.0,1596.0,125.0,"1 değişen, 4 boyalı",4,1
1138,195000,2005.0,Peugeot,407,2.0 HDi Executive Premium,310.0,Otomatik,Dizel,Önden Çekiş,66.0,1997.0,138.0,"2 değişen, 9 boyalı",9,2
1139,210000,1996.0,Volkswagen,Golf,1.9 TD,275.0,Düz,Dizel,,,,,,0,0
1140,157500,1999.0,Renault,Megane,1.6 RTE,371.0,Düz,LPG & Benzin,Önden Çekiş,60.0,1598.0,90.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
1141,330000,2013.0,Renault,Fluence,1.5 dCi Touch Plus,193.0,Düz,Dizel,Önden Çekiş,60.0,1461.0,90.0,8 boyalı,8,0
1142,395000,2012.0,Seat,Leon,1.6 TDI CR Style,218.65,Yarı Otomatik,Dizel,Önden Çekiş,55.0,1598.0,105.0,"1 değişen, 2 boyalı",2,1
1143,445000,2016.0,Peugeot,301,1.6 HDi Allure,50.0,Düz,Dizel,Önden Çekiş,50.0,1560.0,93.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
1144,130000,1998.0,Ford,Ka,1.3,160.0,Düz,LPG & Benzin,Önden Çekiş,42.0,1297.0,60.0,,0,0
1145,227000,2005.0,Opel,Corsa,1.3 CDTI Essentia,286.0,Düz,Dizel,Önden Çekiş,44.0,1248.0,70.0,3 boyalı,3,0
1146,482000,2015.0,Volkswagen,Jetta,1.6 TDi Trendline,110.0,Düz,Dizel,Önden Çekiş,55.0,1598.0,105.0,4 boyalı,4,0
1147,104500,1995.0,Fiat,Tempra,1.6 S,290.0,Düz,LPG & Benzin,Önden Çekiş,,1581.0,75.0,,0,0
1148,245000,2013.0,Peugeot,301,1.6 HDi Allure,374.0,Düz,Dizel,Önden Çekiş,50.0,1560.0,93.0,9 boyalı,9,0
1149,450000,2011.0,Ford,Focus,1.6 TDCi Titanium X,156.0,Düz,Dizel,Önden Çekiş,53.0,1560.0,115.0,,0,0
1150,290000,2007.0,Toyota,Auris,1.4 D-4D Comfort,252.0,Yarı Otomatik,Dizel,Önden Çekiş,55.0,1364.0,90.0,"2 değişen, 6 boyalı",6,2
1151,603000,2016.0,Toyota,Corolla,1.6 Advance,78.0,Düz,Benzin,Önden Çekiş,55.0,1598.0,132.0,1 boyalı,1,0
1152,85000,1987.0,Tofaş,Doğan,L,74.0,Düz,LPG & Benzin,Arkadan İtiş,50.0,1581.0,83.0,,0,0
1153,255000,1999.0,Toyota,Corolla,1.6 Terra,208.0,Düz,LPG & Benzin,Önden Çekiş,50.0,1598.0,110.0,"1 değişen, 4 boyalı",4,1
1154,448000,2019.0,Fiat,Egea,1.4 Fire Urban Plus,49.5,Düz,Benzin,Önden Çekiş,45.0,1368.0,95.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
